ORIGIN,DEST,delayed,FL_COUNT,rate
RDU,IAH,2446,12200,20.04918032786885
RDU,JFK,6865,25347,27.08407306584606
RDU,LAS,786,4596,17.10182767624021
RDU,LAX,1009,5226,19.307309605817068
RDU,LGA,9422,31289,30.11281920163636
RDU,MCI,99,387,25.581395348837212
RDU,MCO,2291,13983,16.38418079096045
RDU,MDW,1641,11594,14.153872692772124
RDU,MIA,1955,11004,17.766266812068338
RDU,MSP,954,6326,15.080619664875119
RDU,MSY,91,320,28.4375
RDU,ORD,4900,23807,20.582181711261395
RDU,PHL,4860,21744,22.350993377483444
RDU,PHX,731,3619,20.19894998618403
RDU,SAN,17,40,42.5
RDU,SEA,278,1736,16.013824884792626
RDU,SFO,773,3839,20.135451940609535
RDU,SLC,165,1403,11.760513186029936
RDU,STL,886,5138,17.244063838069287
RDU,TPA,1868,10750,17.376744186046512
SAN,ATL,2248,21633,10.391531456570979
SAN,AUS,1273,8005,15.902560899437852
SAN,BNA,756,4665,16.205787781350484
SAN,BOS,1613,8360,19.294258373205743
SAN,BWI,1346,8922,15.08630351939027
SAN,CLT,1131,7428,15.226171243941842
SAN,CVG,158,1220,12.950819672131148
SAN,DAL,874,4643,18.824036183502045
SAN,DCA,158,697,22.66857962697274
SAN,DEN,7476,47486,15.743587583708882
SAN,DFW,5314,32987,16.10937642101434
SAN,DTW,752,7673,9.80059950475694
SAN,EWR,2493,12137,20.54049600395485
SAN,FLL,176,816,21.568627450980394
SAN,HOU,1311,7429,17.647058823529413
SAN,IAD,1340,10968,12.217359591539022
SAN,IAH,2168,20095,10.788753421249067
SAN,JFK,3407,18667,18.251459795360798
SAN,LAS,8771,45189,19.40959082962668
SAN,LAX,11077,76660,14.449517349334725
SAN,MCI,1037,6153,16.85356736551276
SAN,MCO,719,3766,19.09187466808285
SAN,MDW,1949,13165,14.804405620964678
SAN,MIA,313,2495,12.545090180360722
SAN,MSP,1018,11898,8.556059841990251
SAN,MSY,333,1729,19.259687680740313
SAN,OAK,8321,40510,20.540607257467293
SAN,ORD,4652,28940,16.074637180373188
SAN,PDX,1498,14778,10.136689673839491
SAN,PHL,1496,8373,17.86695330228114
SAN,PHX,9926,59931,16.56238007041431
SAN,RDU,15,40,37.5
SAN,SEA,3860,30970,12.463674523732644
SAN,SFO,20667,72432,28.53296885354539
SAN,SJC,7026,38563,18.21953686175868
SAN,SLC,2152,22141,9.719524863375637
SAN,STL,530,3588,14.771460423634336
SAN,TPA,70,359,19.498607242339833
SEA,ATL,3775,28588,13.204841192108576
SEA,AUS,826,5654,14.609126282278034
SEA,BNA,524,3348,15.651135005973716
SEA,BOS,2957,14835,19.932591843613075
SEA,BWI,937,5128,18.27223088923557
SEA,CLT,1552,8387,18.504828901871946
SEA,CVG,242,2528,9.572784810126581
SEA,DAL,603,2489,24.22659702691844
SEA,DCA,1049,7249,14.470961511932682
SEA,DEN,9068,59254,15.303608195227325
SEA,DFW,6424,38237,16.800481209299893
SEA,DTW,1944,16834,11.548057502673162
SEA,EWR,4006,18928,21.164412510566358
SEA,FLL,350,2666,13.12828207051763
SEA,HOU,241,801,30.087390761548065
SEA,IAD,1556,11815,13.169699534490057
SEA,IAH,3636,24696,14.723032069970845
SEA,JFK,4584,22770,20.131752305665348
SEA,LAS,6890,51993,13.25178389398573
SEA,LAX,11821,74035,15.966772472479231
SEA,MCI,872,5866,14.865325605182408
SEA,MCO,791,6543,12.089255693107138
SEA,MDW,1640,10282,15.950204240420153
SEA,MIA,729,3886,18.7596500257334
SEA,MSP,3435,28820,11.91880638445524
SEA,MSY,210,1686,12.455516014234876
SEA,OAK,5776,36747,15.718289928429533
SEA,ORD,8194,46596,17.585200446390246
SEA,PDX,3917,29303,13.367232024024844
SEA,PHL,1993,10247,19.449595003415634
SEA,PHX,6948,52435,13.25069133212549
SEA,RDU,195,1735,11.239193083573488
SEA,SAN,4002,30975,12.920096852300242
SEA,SFO,17463,70095,24.91333190669805
SEA,SJC,4780,34164,13.991335909144128
SEA,SLC,4289,37023,11.584690597736543
SEA,STL,889,6728,13.213436385255648
SEA,TPA,219,1682,13.020214030915579
SFO,ATL,5108,32763,15.590757867106186
SFO,AUS,3983,18240,21.836622807017545
SFO,BNA,360,1838,19.58650707290533
SFO,BOS,9218,39910,23.096968178401404
SFO,BWI,1091,4668,23.371893744644385
SFO,CLT,3060,17528,17.45778183477864
SFO,CVG,766,4711,16.25981744852473
SFO,DAL,1548,6360,24.339622641509433
SFO,DCA,960,4731,20.291693088142043
SFO,DEN,13715,62694,21.876096596165503
SFO,DFW,10690,49445,21.619981797957326
SFO,DTW,1877,14232,13.18858909499719
SFO,EWR,12286,47099,26.08547952185821
SFO,FLL,2726,10408,26.19139123750961
SFO,IAD,6827,35222,19.382772131054455
SFO,IAH,6760,32887,20.555234591175843
SFO,JFK,16974,78713,21.56441756761907
SFO,LAS,17172,78712,21.81624148795609
SFO,LAX,39445,148348,26.589505756734166
SFO,MCI,1744,6589,26.468356351494915
